customer_id,first_name,last_name,email,phone,date_created
1,Cody,Smith,cindymiles@example.net,(593)119-5371,2026-03-16 21:09:55.826846
2,Michelle,Jensen,michaelroberts@example.net,(564)911-1457,2026-03-16 21:09:55.826846
3,Crystal,White,karenwilkinson@example.org,(749)619-0681,2026-03-16 21:09:55.826846
4,Christopher,Barber,houstonemily@example.com,(122)283-2373,2026-03-16 21:09:55.826846
5,David,Howell,jennifertownsend@example.org,(352)383-5304,2026-03-16 21:09:55.826846
6,Rebekah,Carlson,wilsonandrew@example.com,(754)084-8858,2026-03-16 21:09:55.826846
7,Travis,Moore,chungsamantha@example.net,(495)058-1620,2026-03-16 21:09:55.826846
8,Linda,Moore,margaret90@example.com,(883)861-6311,2026-03-16 21:09:55.826846
9,Brian,Lawrence,jenniferwest@example.com,(591)870-4608,2026-03-16 21:09:55.826846
10,Philip,Lamb,mgarcia@example.com,(576)444-8568,2026-03-16 21:09:55.826846
11,James,Young,howellrebecca@example.net,(637)946-1240,2026-03-16 21:09:55.826846
12,Melissa,Gomez,josephallen@example.org,(702)718-4750,2026-03-16 21:09:55.826846
13,Kathryn,Keith,sandovaljennifer@example.net,(399)289-5125,2026-03-16 21:09:55.826846
14,Robert,Bean,qtran@example.org,(456)662-1728,2026-03-16 21:09:55.826846
15,Rebecca,Avery,mindy71@example.org,(383)616-7196,2026-03-16 21:09:55.826846
16,Ryan,Russell,tlopez@example.com,(415)943-4670,2026-03-16 21:09:55.826846
17,Cathy,Castillo,paula45@example.org,(527)099-8101,2026-03-16 21:09:55.826846
18,Sergio,Koch,alejandro95@example.org,(414)966-3060,2026-03-16 21:09:55.826846
19,Courtney,Jordan,andreawallace@example.org,(494)992-4773,2026-03-16 21:09:55.826846
20,Eric,Espinoza,qmoore@example.org,(883)029-9808,2026-03-16 21:09:55.826846
21,Lisa,Marsh,timothyflores@example.org,(388)655-5954,2026-03-16 21:09:55.826846
22,Amanda,Herrera,heatherstephenson@example.net,(542)023-6872,2026-03-16 21:09:55.826846
23,William,Manning,linda52@example.net,(880)844-1228,2026-03-16 21:09:55.826846
24,Judith,Lang,kelsey72@example.net,(836)706-4497,2026-03-16 21:09:55.826846
25,Peter,Burnett,jon76@example.com,(959)178-4530,2026-03-16 21:09:55.826846
26,Sharon,Durham,parkerjesus@example.org,(246)262-8573,2026-03-16 21:09:55.826846
27,Samuel,Rubio,qfinley@example.net,(217)046-7243,2026-03-16 21:09:55.826846
28,Sarah,Burgess,vwilliams@example.net,(494)932-2932,2026-03-16 21:09:55.826846
29,Anthony,Johnson,amanda32@example.org,(879)147-7073,2026-03-16 21:09:55.826846
30,Michael,Anderson,dcooke@example.net,(237)786-5764,2026-03-16 21:09:55.826846
31,Hannah,Wiley,vincent80@example.net,(506)837-1411,2026-03-16 21:09:55.826846
32,Teresa,Moreno,mercerthomas@example.net,(595)268-4351,2026-03-16 21:09:55.826846
33,Hannah,Mclaughlin,oford@example.org,(247)067-0774,2026-03-16 21:09:55.826846
34,Martha,Barnes,chad74@example.net,(182)968-4129,2026-03-16 21:09:55.826846
35,Jose,Jarvis,catherine69@example.org,(201)306-9929,2026-03-16 21:09:55.826846
36,Ashley,Mcmillan,yrobertson@example.net,(582)428-6020,2026-03-16 21:09:55.826846
37,Sharon,Adams,hwilson@example.org,(344)550-4437,2026-03-16 21:09:55.826846
38,Stephen,Ewing,angela49@example.org,(937)339-5928,2026-03-16 21:09:55.826846
39,Peter,Burgess,khughes@example.net,(994)952-9203,2026-03-16 21:09:55.826846
40,Michael,Newman,sotoleroy@example.org,(982)393-9713,2026-03-16 21:09:55.826846
41,Thomas,Moore,kurt17@example.com,(333)347-5224,2026-03-16 21:09:55.826846
42,Shirley,Reynolds,scervantes@example.org,(965)433-5653,2026-03-16 21:09:55.826846
43,Susan,Johnson,alexandria69@example.org,(790)978-9005,2026-03-16 21:09:55.826846
44,Rachel,Aguilar,hallbrianna@example.org,(205)759-1959,2026-03-16 21:09:55.826846
45,Julia,Lawson,nicole04@example.org,(572)646-6294,2026-03-16 21:09:55.826846
46,Nicole,Kelley,raven71@example.net,(595)311-6414,2026-03-16 21:09:55.826846
47,Ryan,Park,martinmoody@example.net,(691)530-4373,2026-03-16 21:09:55.826846
48,Albert,Zhang,leachbrian@example.com,(462)512-2022,2026-03-16 21:09:55.826846
49,Carrie,Simmons,cstewart@example.net,(632)954-0070,2026-03-16 21:09:55.826846
50,Melissa,White,zlopez@example.org,(823)358-2936,2026-03-16 21:09:55.826846
