employee_id,first_name,last_name,email,start_date,end_date,department_id,salary
1,Scott,Stewart,scott.stewart@dummycompany.com,2025-05-01,,5,43850.00
2,Kelly,Johnson,kelly.johnson@dummycompany.com,2022-10-23,,3,70835.00
3,Victor,Kim,victor.kim@dummycompany.com,2021-12-24,,3,111503.00
4,Melanie,Moore,melanie.moore@dummycompany.com,2023-11-18,,3,63841.00
5,Lori,Rodriguez,lori.rodriguez@dummycompany.com,2024-12-29,,3,71898.00
6,Jacob,Roberts,jacob.roberts@dummycompany.com,2025-07-05,,4,57738.00
7,Brenda,Stone,brenda.stone@dummycompany.com,2026-01-07,,4,111559.00
8,Dawn,Hernandez,dawn.hernandez@dummycompany.com,2021-06-03,,4,101370.00
9,Andrew,Reyes,andrew.reyes@dummycompany.com,2025-02-25,,4,48552.00
10,Peter,Cooper,peter.cooper@dummycompany.com,2021-03-20,,3,70607.00
11,Patricia,Bowers,patricia.bowers@dummycompany.com,2022-07-26,,1,58081.00
12,Bradley,Dennis,bradley.dennis@dummycompany.com,2024-02-07,,4,66660.00
13,Corey,Valenzuela,corey.valenzuela@dummycompany.com,2025-09-12,,1,89273.00
14,Jonathan,Lee,jonathan.lee@dummycompany.com,2022-10-07,,3,112344.00
15,Michael,Horton,michael.horton@dummycompany.com,2025-05-03,,5,78152.00
16,Daniel,Zamora,daniel.zamora@dummycompany.com,2025-05-08,,3,115981.00
17,Sean,Smith,sean.smith@dummycompany.com,2022-03-12,,1,75483.00
18,Christopher,Alexander,christopher.alexander@dummycompany.com,2021-09-24,,3,99569.00
19,Amy,Stevens,amy.stevens@dummycompany.com,2023-09-22,,3,105832.00
20,Chloe,Watkins,chloe.watkins@dummycompany.com,2023-10-31,,1,77401.00
21,William,Fox,william.fox@dummycompany.com,2024-08-27,,4,63127.00
22,Wesley,Dunn,wesley.dunn@dummycompany.com,2025-03-25,,3,83350.00
23,Sean,Nixon,sean.nixon@dummycompany.com,2025-01-01,,3,54481.00
24,Caitlyn,Calderon,caitlyn.calderon@dummycompany.com,2022-12-26,,5,104409.00
25,Tammy,Jackson,tammy.jackson@dummycompany.com,2022-07-31,,2,87386.00
26,Tracy,Johnson,tracy.johnson@dummycompany.com,2022-09-23,,4,70202.00
27,Tamara,Miller,tamara.miller@dummycompany.com,2025-08-09,,4,87621.00
28,Kenneth,Guzman,kenneth.guzman@dummycompany.com,2022-09-06,,2,64362.00
29,Jessica,Shaw,jessica.shaw@dummycompany.com,2023-04-09,,5,55176.00
30,Sara,Brock,sara.brock@dummycompany.com,2023-10-13,,1,85291.00
31,Christopher,Jordan,christopher.jordan@dummycompany.com,2023-06-14,,4,46185.00
32,James,Garza,james.garza@dummycompany.com,2026-01-28,,3,51848.00
33,Joshua,Cline,joshua.cline@dummycompany.com,2025-05-02,,2,92529.00
34,Heather,Hayden,heather.hayden@dummycompany.com,2025-04-02,,3,104160.00
35,Barbara,Holt,barbara.holt@dummycompany.com,2022-05-07,,2,64441.00
36,Bradley,Garcia,bradley.garcia@dummycompany.com,2024-10-27,,4,71173.00
37,Julie,Harris,julie.harris@dummycompany.com,2021-07-17,,5,48211.00
38,Jeffrey,Moore,jeffrey.moore@dummycompany.com,2024-10-30,,2,64712.00
39,James,Henry,james.henry@dummycompany.com,2023-08-08,,2,84564.00
40,Ruth,Horton,ruth.horton@dummycompany.com,2021-07-10,,5,45833.00
41,Christine,Wilkins,christine.wilkins@dummycompany.com,2025-04-28,,4,86616.00
42,Matthew,Morgan,matthew.morgan@dummycompany.com,2024-12-10,,5,47252.00
43,Rachel,Burton,rachel.burton@dummycompany.com,2025-02-20,,2,46441.00
44,Bob,Patel,bob.patel@dummycompany.com,2022-03-25,,1,82235.00
45,Ashley,Smith,ashley.smith@dummycompany.com,2022-06-05,,1,106766.00
46,Jacqueline,Hernandez,jacqueline.hernandez@dummycompany.com,2025-03-28,,4,104169.00
47,Charles,Curtis,charles.curtis@dummycompany.com,2025-04-14,,2,47266.00
48,Wendy,Sharp,wendy.sharp@dummycompany.com,2025-10-08,,5,84773.00
49,Anthony,Brooks,anthony.brooks@dummycompany.com,2023-12-27,,1,93698.00
50,Jeremy,Nielsen,jeremy.nielsen@dummycompany.com,2025-03-18,,2,43141.00
